,Topic_Number,LDA_Equation
166,166,"[('splenda', 0.03278688524590164), ('result', 0.02622950819672131), ('febreze', 0.019672131147540985), ('affresh', 0.01639344262295082), ('lenscrafter', 0.013114754098360656), ('gogo', 0.013114754098360656), ('squeez', 0.013114754098360656), ('yesthe', 0.009836065573770493), ('suave', 0.009836065573770493), ('granulate', 0.009836065573770493)]"
167,167,"[('chicago', 0.082389289392379), ('cub', 0.05046343975283213), ('air', 0.02265705458290422), ('park', 0.015447991761071062), ('brother', 0.015447991761071062), ('flight', 0.012358393408856848), ('morgan', 0.01132852729145211), ('thunderbird', 0.010298661174047374), ('indiana', 0.010298661174047374), ('blackhawk', 0.010298661174047374)]"
168,168,"[('umpire', 0.0379746835443038), ('serena', 0.03164556962025317), ('cs', 0.02531645569620253), ('mcenroe', 0.0189873417721519), ('rascal', 0.012658227848101266), ('gennett', 0.012658227848101266), ('glucksberg', 0.012658227848101266), ('jingle', 0.012658227848101266), ('dcc', 0.012658227848101266), ('secretif', 0.006329113924050633)]"
169,169,"[('starling', 0.011494252873563218), ('uop', 0.011494252873563218), ('tooneven', 0.005747126436781609), ('playstationin', 0.005747126436781609), ('naturally', 0.005747126436781609), ('ghouland', 0.005747126436781609), ('themhell', 0.005747126436781609), ('vanellope', 0.005747126436781609), ('endwould', 0.005747126436781609), ('toomostly', 0.005747126436781609)]"
170,170,"[('russia_russia', 0.04349545274812179), ('idiot', 0.026888098062475288), ('racist', 0.021352313167259787), ('dude', 0.01937524713325425), ('damn', 0.017398181099248716), ('stupid', 0.0166073546856465), ('man', 0.016211941478845394), ('gullible', 0.014630288651640965), ('stop', 0.01383946223803875), ('fool', 0.013048635824436536)]"
171,171,"[('upeven', 0.013392857142857142), ('trillin', 0.008928571428571428), ('muchthe', 0.008928571428571428), ('muff', 0.008928571428571428), ('assassin', 0.008928571428571428), ('multicolor', 0.008928571428571428), ('yearand', 0.008928571428571428), ('monotheistic', 0.008928571428571428), ('bumble', 0.008928571428571428), ('outliner', 0.004464285714285714)]"
172,172,"[('free', 0.03924597523593445), ('check', 0.025174386329077262), ('make', 0.02049190219883662), ('join', 0.016461104004248026), ('good', 0.013806087229369313), ('save', 0.01163380077719582), ('great', 0.010764886196326422), ('home', 0.009895971615457026), ('product', 0.009847698583186503), ('share', 0.009823562067051242)]"
173,173,"[('tweet', 0.11532051994222864), ('share', 0.09332296411509833), ('featured', 0.049327852460837686), ('check', 0.038884568381290965), ('add', 0.030552160871014332), ('sea_glass', 0.030329963337406955), ('site', 0.0298855682701922), ('live', 0.02866348183535163), ('make', 0.02488612376402622), ('sharing', 0.02266414842795245)]"
174,174,"[('georgia', 0.037073170731707315), ('navy', 0.03121951219512195), ('serve', 0.026341463414634145), ('town_hall', 0.021463414634146343), ('sailor', 0.02048780487804878), ('abortion', 0.02048780487804878), ('son', 0.01951219512195122), ('ballot', 0.016585365853658537), ('damn', 0.014634146341463415), ('grief', 0.014634146341463415)]"
175,175,"[('lafayette', 0.025683890577507598), ('today', 0.02188449848024316), ('man', 0.021504559270516716), ('charge', 0.018161094224924013), ('story', 0.01709726443768997), ('suspect', 0.013601823708206687), ('trial', 0.012462006079027355), ('judge', 0.012006079027355622), ('murder', 0.010638297872340425), ('sentence', 0.00911854103343465)]"
176,176,"[('end', 0.049896587383660804), ('follower', 0.028697001034126163), ('ipad', 0.024043433298862462), ('card', 0.021975180972078595), ('rafflecopter_giveaway', 0.017063081695966906), ('veggie', 0.016546018614270942), ('tweet', 0.016028955532574975), ('gift_card', 0.015511892450879007), ('leslie_lov', 0.015511892450879007), ('visa_gift', 0.013960703205791106)]"
177,177,"[('dog', 0.037523067459503796), ('find', 0.020709452532294444), ('swag', 0.020299364363338117), ('genealogy', 0.020094320278859955), ('store', 0.019889276194381793), ('snagged_free', 0.01968423210990363), ('photo', 0.019274143940947303), ('family', 0.016403526758253024), ('record', 0.015173262251384047), ('swagbuckscom', 0.011482468730777117)]"
178,178,"[('whispersnone', 0.008130081300813009), ('orderignore', 0.008130081300813009), ('insack', 0.008130081300813009), ('weightagain', 0.008130081300813009), ('contractit', 0.008130081300813009), ('whati', 0.008130081300813009), ('basicness', 0.008130081300813009), ('divisionism', 0.008130081300813009), ('gime', 0.008130081300813009), ('partyif', 0.008130081300813009)]"
179,179,"[('stop', 0.0831353919239905), ('driver', 0.07482185273159145), ('helped_nearby', 0.07363420427553444), ('drive_social', 0.07244655581947744), ('retweet', 0.03681710213776722), ('review', 0.029691211401425176), ('shoulder', 0.028503562945368172), ('reporting_car', 0.026128266033254157), ('road_construction', 0.020190023752969122), ('braiden_braiden', 0.014251781472684086)]"
180,180,"[('typewriter', 0.05263157894736842), ('krassenstein', 0.013157894736842105), ('roshibulma', 0.006578947368421052), ('blyleven', 0.006578947368421052), ('duff', 0.006578947368421052), ('hootie', 0.006578947368421052), ('huckleberry', 0.006578947368421052), ('getsnowhere', 0.006578947368421052), ('nerdy', 0.006578947368421052), ('bunde', 0.006578947368421052)]"
181,181,"[('fancyfix', 0.01818181818181818), ('sssuuucccckkkk', 0.00909090909090909), ('liarsneonazi', 0.00909090909090909), ('afroboss', 0.00909090909090909), ('oneyng', 0.00909090909090909), ('sale', 0.00909090909090909), ('peart', 0.00909090909090909), ('paslar', 0.00909090909090909), ('yeaaaaaaaa', 0.00909090909090909), ('witching', 0.00909090909090909)]"
182,182,"[('spence', 0.0136986301369863), ('pubgnothing', 0.00684931506849315), ('combed', 0.00684931506849315), ('psaw', 0.00684931506849315), ('knowsthe', 0.00684931506849315), ('ptheyre', 0.00684931506849315), ('glaze', 0.00684931506849315), ('chazz', 0.00684931506849315), ('hyperactivity', 0.00684931506849315), ('nahara', 0.00684931506849315)]"
183,183,"[('singh', 0.012658227848101266), ('gotsometh', 0.012658227848101266), ('ming', 0.012658227848101266), ('feelmuch', 0.012658227848101266), ('resident', 0.012658227848101266), ('backme', 0.012658227848101266), ('democratsif', 0.012658227848101266), ('destroyto', 0.012658227848101266), ('suppository', 0.012658227848101266), ('aiofirst', 0.012658227848101266)]"
184,184,"[('gevo', 0.039), ('jew', 0.038), ('israel', 0.035), ('antisemitism', 0.03), ('jewish', 0.026), ('steeler', 0.021), ('antisemitic', 0.019), ('buy', 0.012), ('hama', 0.011), ('rs', 0.009)]"
185,185,"[('test_sh', 0.04838709677419355), ('navigation', 0.021505376344086023), ('usb_port', 0.021505376344086023), ('test_shed', 0.021505376344086023), ('chk', 0.016129032258064516), ('kndi', 0.016129032258064516), ('centrifuge', 0.016129032258064516), ('cockpit', 0.016129032258064516), ('slubb', 0.010752688172043012), ('clergy', 0.010752688172043012)]"
186,186,"[('tulane', 0.04660550458715596), ('new_orlean', 0.026422018348623854), ('congrat', 0.02348623853211009), ('dat', 0.016880733944954127), ('saint', 0.014678899082568808), ('nola', 0.014678899082568808), ('news', 0.012477064220183486), ('amazing', 0.012110091743119266), ('https', 0.011009174311926606), ('story', 0.011009174311926606)]"
187,187,"[('add', 0.10696952048145991), ('closet', 0.1046398757522811), ('poshmark', 0.0656183265385362), ('check', 0.06037662589788391), ('item', 0.0526111434672879), ('love', 0.048340128130460104), ('share', 0.045428072218986607), ('good', 0.044651523975927004), ('dress', 0.0283440108716754), ('size', 0.0196078431372549)]"
188,188,"[('today', 0.030892188234580446), ('day', 0.029633449096892583), ('tonight', 0.022141676397882892), ('year', 0.014907717739122523), ('night', 0.01323950924339162), ('week', 0.011995935637483128), ('time', 0.011404479898087627), ('home', 0.010979845008265215), ('morning', 0.010176071823958507), ('watch', 0.010100244165061648)]"
189,189,"[('hdtrack', 0.024193548387096774), ('gayle', 0.016129032258064516), ('poca', 0.008064516129032258), ('putinassang', 0.008064516129032258), ('victi', 0.008064516129032258), ('butlerit', 0.008064516129032258), ('funnybut', 0.008064516129032258), ('officialbron', 0.008064516129032258), ('exonerate', 0.008064516129032258), ('glenn_beck', 0.008064516129032258)]"
190,190,"[('toad', 0.021505376344086023), ('americathere', 0.021505376344086023), ('nathaniel', 0.021505376344086023), ('soihylmz', 0.010752688172043012), ('start_earn', 0.010752688172043012), ('omar', 0.010752688172043012), ('infest', 0.010752688172043012), ('confederate_monument', 0.010752688172043012), ('trumpshould', 0.010752688172043012), ('paulm', 0.010752688172043012)]"
191,191,"[('thisll', 0.0111731843575419), ('fielderschafer', 0.0111731843575419), ('nightingale', 0.0111731843575419), ('burningcrazy', 0.00558659217877095), ('shehulk', 0.00558659217877095), ('shut', 0.00558659217877095), ('ringwith', 0.00558659217877095), ('phou', 0.00558659217877095), ('backgroundit', 0.00558659217877095), ('protec', 0.00558659217877095)]"
192,192,"[('relay', 0.015873015873015872), ('rontourage', 0.015873015873015872), ('hob', 0.015873015873015872), ('elsewheremexica', 0.007936507936507936), ('dinosleeve', 0.007936507936507936), ('manchintoomey', 0.007936507936507936), ('lettersuruguay', 0.007936507936507936), ('eggshell', 0.007936507936507936), ('wound', 0.007936507936507936), ('timesabc', 0.007936507936507936)]"
193,193,"[('kilrain', 0.013071895424836602), ('gleam', 0.013071895424836602), ('tom_petty', 0.013071895424836602), ('ashely', 0.013071895424836602), ('toenail', 0.006535947712418301), ('likey', 0.006535947712418301), ('ofare', 0.006535947712418301), ('outforfoodso', 0.006535947712418301), ('cognitively', 0.006535947712418301), ('conversationwe', 0.006535947712418301)]"
194,194,"[('walking', 0.03766398645789251), ('app', 0.03681760473973762), ('pedometer_android', 0.03639441388066018), ('finished_runtastic', 0.03597122302158273), ('blart', 0.03131612357173085), ('dude', 0.016927634363097757), ('idol', 0.01396529834955565), ('donald', 0.010156580617858655), ('kpop', 0.00973338975878121), ('jonghyun', 0.008463817181548879)]"
195,195,"[('morethat', 0.011904761904761904), ('singlepayer', 0.011904761904761904), ('cantrump', 0.011904761904761904), ('broadband', 0.011904761904761904), ('happenor', 0.011904761904761904), ('takenokay', 0.011904761904761904), ('quibble', 0.011904761904761904), ('putin_pay', 0.011904761904761904), ('game', 0.011904761904761904), ('bellator', 0.011904761904761904)]"
196,196,"[('secretive', 0.009009009009009009), ('buttplugladen', 0.009009009009009009), ('sfm', 0.009009009009009009), ('eucharist', 0.009009009009009009), ('postphotoshoot', 0.009009009009009009), ('thou', 0.009009009009009009), ('killaz', 0.009009009009009009), ('controlnow', 0.009009009009009009), ('outgo', 0.009009009009009009), ('escaped', 0.009009009009009009)]"
197,197,"[('gameday', 0.03676470588235294), ('bo_ryan', 0.03308823529411765), ('dekker', 0.029411764705882353), ('frank_kaminsky', 0.029411764705882353), ('badger', 0.025735294117647058), ('kaminsky', 0.022058823529411766), ('shine', 0.01838235294117647), ('ppg', 0.01838235294117647), ('bo', 0.01838235294117647), ('nicholl', 0.014705882352941176)]"
198,198,"[('confiden', 0.013888888888888888), ('restjust', 0.013888888888888888), ('weve_partner', 0.013888888888888888), ('servic', 0.013888888888888888), ('deny', 0.013888888888888888), ('anon', 0.013888888888888888), ('renault', 0.013888888888888888), ('decadesh', 0.013888888888888888), ('nightrage', 0.013888888888888888), ('nigg', 0.013888888888888888)]"
199,199,"[('essere', 0.021052631578947368), ('gma', 0.010526315789473684), ('boredis', 0.010526315789473684), ('givenhard', 0.010526315789473684), ('electoral_college', 0.010526315789473684), ('burberry', 0.010526315789473684), ('effekt', 0.010526315789473684), ('othermental', 0.010526315789473684), ('inlove', 0.010526315789473684), ('unverified', 0.010526315789473684)]"
200,200,"[('area', 0.021052631578947368), ('follower', 0.020394736842105264), ('benchprep', 0.019517543859649124), ('great', 0.017982456140350878), ('deal', 0.01783625730994152), ('search', 0.01739766081871345), ('apply', 0.017251461988304094), ('check', 0.017105263157894738), ('online', 0.01695906432748538), ('job', 0.01615497076023392)]"
201,201,"[('integration', 0.0125), ('jampolsky', 0.00625), ('shameless', 0.00625), ('awwwwwe', 0.00625), ('pase', 0.00625), ('brokenot', 0.00625), ('xxxo', 0.00625), ('fertility', 0.00625), ('pillsthe', 0.00625), ('workingbut', 0.00625)]"
202,202,"[('scuse', 0.009433962264150943), ('officeobama', 0.009433962264150943), ('chesterton', 0.009433962264150943), ('impasse', 0.009433962264150943), ('delightventur', 0.009433962264150943), ('afrin', 0.009433962264150943), ('tamboura', 0.009433962264150943), ('doosan', 0.009433962264150943), ('datejeff', 0.009433962264150943), ('criticism', 0.009433962264150943)]"
203,203,"[('disney_world', 0.014285714285714285), ('red', 0.014285714285714285), ('voicesi', 0.014285714285714285), ('bichin', 0.007142857142857143), ('politicsi', 0.007142857142857143), ('cher', 0.007142857142857143), ('trebek', 0.007142857142857143), ('rhod', 0.007142857142857143), ('forceps', 0.007142857142857143), ('gunswe', 0.007142857142857143)]"
204,204,"[('bts', 0.06829698171403392), ('taehyung', 0.035470367922449876), ('army', 0.023573474333553647), ('boy', 0.01520158625247852), ('jimin', 0.014320334875523243), ('jungkook', 0.01277814496585151), ('link', 0.01255783212161269), ('guy', 0.012117206433135052), ('jin', 0.00991407799074686), ('concert', 0.00991407799074686)]"
205,205,"[('liked_video', 0.08402662229617304), ('video', 0.04742096505823627), ('add', 0.04658901830282862), ('playlist', 0.04492512479201331), ('mushroom', 0.033277870216306155), ('review', 0.026622296173044926), ('knife', 0.01913477537437604), ('hike', 0.01747088186356073), ('part', 0.016638935108153077), ('mushroom_hunt', 0.014143094841930116)]"
206,206,"[('goi', 0.02127659574468085), ('naah', 0.02127659574468085), ('freeeeeeeeeeee', 0.010638297872340425), ('eveh', 0.010638297872340425), ('overthinking', 0.010638297872340425), ('agoif', 0.010638297872340425), ('courier', 0.010638297872340425), ('bord', 0.010638297872340425), ('ppgmontana', 0.010638297872340425), ('powerhouse', 0.010638297872340425)]"
207,207,"[('scroll', 0.021052631578947368), ('clearer', 0.010526315789473684), ('blockbust', 0.010526315789473684), ('lamb', 0.010526315789473684), ('slimeball', 0.010526315789473684), ('potshot', 0.010526315789473684), ('guccifer', 0.010526315789473684), ('basilica', 0.010526315789473684), ('nightstick', 0.010526315789473684), ('tadpole', 0.010526315789473684)]"
208,208,"[('religious', 0.01448483192128997), ('conservative', 0.011751844766329598), ('rightw', 0.011751844766329598), ('leave', 0.01065864990434545), ('social', 0.007925662749385078), ('religion', 0.006012571740912818), ('reveal', 0.00573927302541678), ('right_w', 0.005465974309920744), ('absolute', 0.005465974309920744), ('liberal', 0.004919376878928669)]"
209,209,"[('abnormal', 0.01694915254237288), ('glider', 0.01694915254237288), ('vlone', 0.00847457627118644), ('bratty', 0.00847457627118644), ('deshield', 0.00847457627118644), ('grac', 0.00847457627118644), ('bruise', 0.00847457627118644), ('tryhard', 0.00847457627118644), ('sexual_abuse', 0.00847457627118644), ('belushi', 0.00847457627118644)]"
210,210,"[('top', 0.046511627906976744), ('buffalo', 0.03671970624235006), ('business', 0.020195838433292534), ('ticket', 0.017135862913096694), ('new_york', 0.014075887392900856), ('list', 0.012851897184822521), ('school', 0.012851897184822521), ('area', 0.012239902080783354), ('niagara', 0.011015911872705019), ('western', 0.011015911872705019)]"
211,211,"[('video', 0.022614622057001238), ('update', 0.012081784386617101), ('free', 0.011703152967093488), ('work', 0.009913258983890954), ('online', 0.009809995869475424), ('link', 0.00929368029739777), ('check', 0.008742943687181605), ('test', 0.008605259534627565), ('app', 0.00812336500068842), ('news', 0.007607049428610767)]"
212,212,"[('phillie', 0.018900343642611683), ('dude', 0.01675257731958763), ('shoutout', 0.01675257731958763), ('train', 0.014604810996563574), ('eagle', 0.014175257731958763), ('sixer', 0.013745704467353952), ('roommate', 0.011597938144329897), ('update', 0.010309278350515464), ('joke', 0.010309278350515464), ('goddamn', 0.00902061855670103)]"
213,213,"[('good', 0.033574624169839105), ('thing', 0.025536999472031568), ('feel', 0.018520576874982632), ('make', 0.017172867980103926), ('pretty', 0.016839414232917443), ('time', 0.01636007447133687), ('ill', 0.01504710034179009), ('work', 0.013609081057048378), ('guy', 0.013463195042654292), ('play', 0.011399949981937923)]"
214,214,"[('youtube', 0.03931203931203931), ('subscribe', 0.03194103194103194), ('channel', 0.019656019656019656), ('blog_post', 0.01597051597051597), ('ovarian_cancer', 0.01597051597051597), ('lookbook', 0.014742014742014743), ('size', 0.013513513513513514), ('lash', 0.011056511056511056), ('eyeshadow', 0.011056511056511056), ('bout', 0.009828009828009828)]"
215,215,"[('war', 0.018336007334402934), ('assange', 0.017648407059362825), ('julian_assange', 0.013522805409122164), ('journalist', 0.01306440522576209), ('russiagate', 0.011918404767361907), ('venezuela', 0.01168920467568187), ('government', 0.009855603942241577), ('medium', 0.009168003667201467), ('russian', 0.008709603483841394), ('narrative', 0.008480403392161356)]"
216,216,"[('gary_johnson', 0.034578146611341634), ('kelsey', 0.017980636237897647), ('hillary', 0.017980636237897647), ('johnson', 0.017980636237897647), ('jery', 0.016597510373443983), ('neogaf', 0.016597510373443983), ('sayu', 0.015214384508990318), ('gerge', 0.012448132780082987), ('reward', 0.011065006915629323), ('gaf', 0.011065006915629323)]"
217,217,"[('cash_priz', 0.03413654618473896), ('toy', 0.030120481927710843), ('download', 0.028112449799196786), ('finger', 0.02610441767068273), ('scratching_download', 0.020080321285140562), ('news', 0.018072289156626505), ('teacher', 0.018072289156626505), ('mobii', 0.01606425702811245), ('spreem', 0.01606425702811245), ('optimus_prime', 0.014056224899598393)]"
218,218,"[('xman', 0.012711864406779662), ('skookie', 0.00847457627118644), ('scalper', 0.00847457627118644), ('mbps', 0.00847457627118644), ('autofill', 0.00847457627118644), ('thingsi', 0.00847457627118644), ('guessbut', 0.00847457627118644), ('neil_gaiman', 0.00423728813559322), ('sugareither', 0.00423728813559322), ('hersorry', 0.00423728813559322)]"
219,219,"[('beer', 0.033487709298183115), ('vancouver', 0.020662629141432135), ('awesome', 0.015675097969362308), ('haha', 0.013893836836480229), ('bus', 0.01282508015675098), ('hair', 0.012468827930174564), ('cat', 0.011756323477021732), ('run', 0.008906305664410403), ('kirby', 0.008550053437833986), ('kinda', 0.007481296758104738)]"
220,220,"[('nowheh', 0.010416666666666666), ('overhaul', 0.010416666666666666), ('nowsometime', 0.010416666666666666), ('redwhite', 0.010416666666666666), ('disturbance', 0.010416666666666666), ('whomev', 0.010416666666666666), ('srsbsnss', 0.010416666666666666), ('blogbut', 0.010416666666666666), ('duvet', 0.010416666666666666), ('typekind', 0.010416666666666666)]"
221,221,"[('world', 0.018427003936678114), ('american', 0.010553647709188374), ('history', 0.009087863305134433), ('food', 0.00825027221710361), ('science', 0.006784487813049669), ('death', 0.0063238127146327166), ('new_york', 0.00573749895301114), ('view', 0.005360582963397269), ('study', 0.005276823854594187), ('system', 0.005067426082586481)]"
222,222,"[('petroleum', 0.015), ('devouring', 0.01), ('reciepe', 0.01), ('vivekananda', 0.01), ('midwinter', 0.01), ('spre', 0.005), ('pocketbak', 0.005), ('lilithson', 0.005), ('sabina', 0.005), ('displace', 0.005)]"
223,223,"[('nowe', 0.014492753623188406), ('accessible', 0.014492753623188406), ('dominos', 0.007246376811594203), ('happenedam', 0.007246376811594203), ('againsure', 0.007246376811594203), ('mimosa', 0.007246376811594203), ('aaaaaaaahhhh', 0.007246376811594203), ('heroinalcohol', 0.007246376811594203), ('throughand', 0.007246376811594203), ('cablewhich', 0.007246376811594203)]"
224,224,"[('dhw', 0.009433962264150943), ('matheconomic', 0.009433962264150943), ('ronalphlet', 0.009433962264150943), ('withersin', 0.009433962264150943), ('elke', 0.009433962264150943), ('damien', 0.009433962264150943), ('coursego', 0.009433962264150943), ('employerbased', 0.009433962264150943), ('crunchiest', 0.009433962264150943), ('rightall', 0.009433962264150943)]"
225,225,"[('matty', 0.026925623482674906), ('cosplay', 0.018980357536967557), ('mayor', 0.015228426395939087), ('gtlt', 0.013683513573162658), ('badge', 0.01169719708673582), ('matt', 0.011255793423085412), ('wig', 0.009490178768483779), ('anime', 0.009269476936658574), ('boss', 0.008607371441182963), ('cat', 0.008386669609357758)]"
226,226,"[('depo', 0.021505376344086023), ('wary', 0.021505376344086023), ('varick', 0.021505376344086023), ('armbar', 0.010752688172043012), ('shitti', 0.010752688172043012), ('adjacency', 0.010752688172043012), ('rebornwith', 0.010752688172043012), ('helicopter', 0.010752688172043012), ('rowe', 0.010752688172043012), ('twittwat', 0.010752688172043012)]"
227,227,"[('martha', 0.02142857142857143), ('tear', 0.014285714285714285), ('countedor', 0.007142857142857143), ('daug', 0.007142857142857143), ('touchdown', 0.007142857142857143), ('gott', 0.007142857142857143), ('americamedia', 0.007142857142857143), ('goby', 0.007142857142857143), ('blessingand', 0.007142857142857143), ('basementdwe', 0.007142857142857143)]"
228,228,"[('fuck', 0.11170129667239494), ('shit', 0.06538040931104515), ('bitch', 0.026818726240691558), ('ass', 0.019007446753111494), ('fucking', 0.017106702077800344), ('dude', 0.015804822163203665), ('wanna', 0.0157527469666198), ('damn', 0.012107483205749102), ('suck', 0.01033692652189762), ('man', 0.009399572983388012)]"
229,229,"[('people', 0.028611061954480325), ('make', 0.026601665743790567), ('time', 0.017907602025380043), ('man', 0.014282696929391415), ('call', 0.013517756326458382), ('good', 0.012889820010617833), ('talk', 0.012861277450806898), ('life', 0.012592977388584118), ('year', 0.011965041072743567), ('watch', 0.011628238866974545)]"
230,230,"[('fairbank', 0.028037383177570093), ('twtr', 0.018691588785046728), ('placard', 0.009345794392523364), ('teamin', 0.009345794392523364), ('hug', 0.009345794392523364), ('ghiradhelli', 0.009345794392523364), ('elaborate', 0.009345794392523364), ('elizabeth', 0.009345794392523364), ('monopoly', 0.009345794392523364), ('tweetig', 0.009345794392523364)]"
231,231,"[('dominos_pizza', 0.02247191011235955), ('foress', 0.02247191011235955), ('loooool', 0.011235955056179775), ('newsgirl', 0.011235955056179775), ('gonzalez', 0.011235955056179775), ('nowdidnt', 0.011235955056179775), ('accessory', 0.011235955056179775), ('chris_wallace', 0.011235955056179775), ('kommm', 0.011235955056179775), ('optometrist', 0.011235955056179775)]"
232,232,"[('normality', 0.0106951871657754), ('muthafukka', 0.0106951871657754), ('cauldron', 0.0106951871657754), ('gutsy', 0.0053475935828877), ('yakisoba', 0.0053475935828877), ('telenovela', 0.0053475935828877), ('thinkdude', 0.0053475935828877), ('descent', 0.0053475935828877), ('meatsthis', 0.0053475935828877), ('oatsi', 0.0053475935828877)]"
233,233,"[('eat', 0.015419025375084121), ('wear', 0.010074818890780254), ('hour', 0.010015438818732434), ('car', 0.009956058746684612), ('work', 0.009401844740904951), ('drink', 0.00938205138355568), ('drive', 0.00916432445271367), ('run', 0.00894659752187166), ('coffee', 0.008629903804283282), ('walk', 0.007699616008867424)]"
234,234,"[('miss', 0.07933398628795299), ('find', 0.04621694417238002), ('person', 0.025832517140058766), ('man', 0.018486777668952008), ('search', 0.01811949069539667), ('body', 0.015242409402546522), ('locate', 0.014140548481880509), ('woman', 0.013161116552399607), ('ca', 0.012365328109696375), ('family', 0.01095739471106758)]"
235,235,"[('bankrupcy', 0.015037593984962405), ('twine', 0.015037593984962405), ('beltranreddick', 0.015037593984962405), ('cust', 0.007518796992481203), ('explosion', 0.007518796992481203), ('divey', 0.007518796992481203), ('verdienen', 0.007518796992481203), ('finanziell', 0.007518796992481203), ('photog', 0.007518796992481203), ('inversely', 0.007518796992481203)]"
236,236,"[('saturate', 0.016853932584269662), ('domainso', 0.0056179775280898875), ('brigid', 0.0056179775280898875), ('trot', 0.0056179775280898875), ('satisfaction', 0.0056179775280898875), ('label', 0.0056179775280898875), ('safeguard', 0.0056179775280898875), ('czn', 0.0056179775280898875), ('todaylt', 0.0056179775280898875), ('amurrica', 0.0056179775280898875)]"
237,237,"[('gatcha', 0.007936507936507936), ('ooze', 0.007936507936507936), ('rundown', 0.007936507936507936), ('weekwork', 0.007936507936507936), ('lessr', 0.007936507936507936), ('slowtalk', 0.007936507936507936), ('freetimetravel', 0.007936507936507936), ('infiel', 0.007936507936507936), ('griswoldliteral', 0.007936507936507936), ('hurtsmy', 0.007936507936507936)]"
238,238,"[('liked_video', 0.1029228855721393), ('black_op', 0.037779850746268655), ('live', 0.03700248756218905), ('call', 0.02005597014925373), ('video', 0.01896766169154229), ('check', 0.018656716417910446), ('broadcast', 0.017412935323383085), ('ps', 0.016635572139303483), ('twitch', 0.013215174129353234), ('duty_black', 0.012593283582089552)]"
239,239,"[('abe', 0.023391812865497075), ('exclude', 0.011695906432748537), ('meanstest', 0.011695906432748537), ('backso', 0.011695906432748537), ('halfeaten', 0.011695906432748537), ('companyit', 0.011695906432748537), ('laughdemocrat', 0.005847953216374269), ('rightmade', 0.005847953216374269), ('petsbut', 0.005847953216374269), ('germinate', 0.005847953216374269)]"
240,240,"[('mccolm', 0.02857142857142857), ('dvds', 0.02857142857142857), ('pincushion', 0.02040816326530612), ('wide', 0.0163265306122449), ('assort', 0.0163265306122449), ('bracelet', 0.0163265306122449), ('pagejulie', 0.012244897959183673), ('clothespin', 0.012244897959183673), ('launchpad', 0.012244897959183673), ('etccheck', 0.012244897959183673)]"
241,241,"[('tweet', 0.03793045684064422), ('people', 0.029219613755474192), ('read', 0.016033694689736044), ('twitter', 0.01522004451145093), ('kid', 0.014693564984325268), ('child', 0.012324407112259794), ('love', 0.011845789360327375), ('care', 0.011654342259554407), ('thing', 0.011295378945605093), ('person', 0.01124751717041185)]"
242,242,"[('game', 0.021485852625208048), ('play', 0.016795279164775308), ('wtf', 0.01573611741564533), ('good', 0.013012558632168256), ('season', 0.01255863216825541), ('khazix', 0.011650779240429718), ('player', 0.009229838099561204), ('atm', 0.00892722045695264), ('jungle', 0.008321985171735512), ('cancer', 0.007262823422605538)]"
243,243,"[('voting', 0.19337979094076654), ('choice_award', 0.18989547038327526), ('kid', 0.18989547038327526), ('bake', 0.013937282229965157), ('daughter', 0.012195121951219513), ('blossom', 0.012195121951219513), ('precious', 0.010452961672473868), ('lucy', 0.010452961672473868), ('ticket', 0.008710801393728223), ('vip', 0.008710801393728223)]"
244,244,"[('lol', 0.5092481383617583), ('pic', 0.006005284650492433), ('ahhh', 0.005044439106413644), ('mmmm', 0.004083593562334855), ('mmm', 0.004083593562334855), ('hahaha', 0.004083593562334855), ('quiet', 0.003843382176315157), ('niece', 0.00360317079029546), ('damned', 0.0031227480182560653), ('hmmm', 0.002882536632236368)]"
245,245,"[('milla', 0.028871391076115485), ('teddy', 0.02099737532808399), ('tuna', 0.015748031496062992), ('macaroni', 0.015748031496062992), ('twitterfox', 0.015748031496062992), ('vegetarian', 0.013123359580052493), ('invitation', 0.013123359580052493), ('spam', 0.013123359580052493), ('cookbook', 0.010498687664041995), ('lj', 0.010498687664041995)]"
246,246,"[('trade', 0.018691588785046728), ('kirwan', 0.009345794392523364), ('baghttp', 0.009345794392523364), ('henley', 0.009345794392523364), ('falsely_accus', 0.009345794392523364), ('heyyyyyyy', 0.009345794392523364), ('irasshaimase', 0.009345794392523364), ('full_sized', 0.009345794392523364), ('lacking', 0.009345794392523364), ('paceeventually', 0.009345794392523364)]"
247,247,"[('iggy', 0.023255813953488372), ('pact', 0.011627906976744186), ('cancelchange', 0.011627906976744186), ('hiddenite', 0.011627906976744186), ('headlittle', 0.011627906976744186), ('confusionfrom', 0.011627906976744186), ('raice', 0.011627906976744186), ('marten', 0.011627906976744186), ('reflec', 0.011627906976744186), ('propylea', 0.011627906976744186)]"
248,248,"[('follow', 0.09807589524318547), ('love', 0.03928380545163014), ('hope', 0.024853019775521113), ('zayn_please', 0.024585783003741316), ('win', 0.022715125601282738), ('omg', 0.01977552111170497), ('liam', 0.019241047568145375), ('louis', 0.01897381079636558), ('zayn', 0.01790486370924639), ('niall', 0.013361838588989846)]"
